,source_id,RA,DEC,memberprob,cl_key,Cluster,Star,U,V,B,R,I,Xpos,Ypos,Vary
0,1328024954747318144,250.168221,36.190589,0.99712,ngc6205,NGC6205,10060,18.185,17.718,18.298,17.247,16.954,-739.982,-969.892,0.281
1,1328031002062734848,250.210709,36.239537,0.9998,ngc6205,NGC6205,12157,18.207,17.992,18.44,17.595,17.331,-616.148,-793.987,0.545
2,1328072577344699136,250.090526,36.281468,0.99962,ngc6205,NGC6205,7637,18.233,17.868,18.386,,17.158,-964.604,-642.062,0.507
3,1328031341355720448,250.179819,36.271164,0.99905,ngc6205,NGC6205,10564,18.247,17.905,18.422,17.487,17.204,-705.547,-679.925,0.208
4,1328031276940642560,250.19406,36.257233,0.99804,ngc6205,NGC6205,11230,18.233,17.901,18.43,17.466,17.174,-664.333,-730.174,0.917
5,1328031723617242752,250.193919,36.281243,0.99994,ngc6205,NGC6205,11223,15.339,15.239,15.269,15.175,15.172,-664.53,-643.742,1.294
6,1328026604005373824,250.303152,36.154563,0.99163,ngc6205,NGC6205,21113,,17.971,18.488,,17.409,-348.137,-1100.37,0.0
7,1328029902549640192,250.251555,36.18726,0.9998,ngc6205,NGC6205,15034,15.319,15.437,15.4,15.385,15.439,-497.893,-982.421,0.722
8,1328026054260346240,250.385074,36.147075,0.99973,ngc6205,NGC6205,47413,,16.259,16.942,,15.458,-110.018,-1127.53,0.026
9,1328027222491454080,250.340029,36.200875,0.99898,ngc6205,NGC6205,29195,18.039,17.567,18.157,17.113,16.773,-240.794,-933.748,0.151
10,1328028631240727808,250.361215,36.200841,0.9997,ngc6205,NGC6205,36279,17.968,17.472,18.058,17.029,16.678,-179.247,-933.918,-0.038
11,1328035503187027968,250.598609,36.141977,0.99971,ngc6205,NGC6205,118528,,17.052,17.815,,16.238,510.78,-1145.43,0.0
12,1328038522540896128,250.572078,36.154231,0.99928,ngc6205,NGC6205,116951,18.338,17.978,18.481,,17.318,433.588,-1101.45,0.0
13,1328038698642699008,250.618729,36.193365,0.9999,ngc6205,NGC6205,119387,17.658,17.044,17.735,16.634,16.163,568.894,-960.335,1.809
14,1328028871757592960,250.381038,36.249388,0.99994,ngc6205,NGC6205,45351,17.909,17.413,18.037,16.946,16.598,-121.586,-759.176,0.075
15,1328028871757599616,250.374667,36.251587,0.99972,ngc6205,NGC6205,42286,18.179,17.902,18.391,17.51,17.209,-140.075,-751.253,-0.04
16,1328033029286576640,250.269537,36.299826,0.99996,ngc6205,NGC6205,16748,16.653,15.92,16.625,15.452,15.035,-444.998,-577.284,0.217
17,1328033128062189056,250.267622,36.311677,0.99986,ngc6205,NGC6205,16523,18.227,17.963,18.479,17.612,17.277,-450.487,-534.61,0.002
18,1328032445170788352,250.309427,36.31837,0.99842,ngc6205,NGC6205,22261,18.198,17.911,18.431,17.551,17.207,-329.192,-510.679,0.314
19,1328032823127903744,250.320028,36.326964,0.99998,ngc6205,NGC6205,24304,15.2,15.029,15.119,14.986,14.916,-298.409,-479.775,0.541
20,1328032823127904512,250.327061,36.33438,0.99998,ngc6205,NGC6205,25884,16.258,15.463,16.206,14.967,14.556,-277.986,-453.096,0.449
21,1328032548249732992,250.345818,36.302686,0.99999,ngc6205,NGC6205,30924,16.325,15.524,16.266,15.027,14.617,-223.677,-567.248,0.495
22,1328029387153681024,250.401767,36.285556,0.99996,ngc6205,NGC6205,56507,15.301,14.011,14.925,13.425,12.966,-61.378,-628.994,0.467
